Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-27 22:34:49,Python Developer,Ergode IT Services Private Limited,Mumbai,Immediately,"₹ 8,000 - 10,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"APIs, Automation, Data Cleaning, Data Preprocessing, Integration Testing, NumPy, Pandas, Python","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:34:51,Audit Assistant In Bank,G R A N D M A R K & Associates,Mumbai,Immediately,"₹ 10,000 - 12,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Excel",Not Available
2025-09-27 22:34:53,Flutter Development,International Institute Of Data Science & Technology,Mumbai,Immediately,"₹ 5,000 - 15,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Android, Cloud Firestore, Dart, Firebase, Flutter, iOS, REST API","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:34:54,UI/UX Design,Trent Limited (A TATA Enterprise),Mumbai,Immediately,"₹ 5,000 - 10,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Adobe XD, Canva, Figma","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:34:56,Sales and Marketing,HD Fire Protect Limited,Thane,Immediately,"₹ 20,000 /month",6 Months,25 Oct' 25,Nothing,1. Graduate in B.E. mechanical engineering preferred,"Computer skills, MS-Excel, MS-Word",Certificate
2025-09-27 22:34:58,Assistant Project Manager,Apni Pathshala,Mumbai,Immediately,"₹ 12,500 - 20,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Community Management, Computer skills, Document Management, Effective Communication, Google Workspace, MS-Office, Problem Solving, Project Management","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:35:00,Product Marketing,Central App,Thane,Immediately,"₹ 6,000 - 10,000 /month",3 Months,25 Oct' 25,Nothing,"4. are from Thane, Mumbai only","Branding, Content Writing, Creative Thinking, Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written)","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:35:03,Cyber Security,Prime Infoserv LLP,Delhi,Immediately,"₹ 5,000 /month",3 Months,25 Oct' 25,Nothing,1. B.Tech with CEH/CHFI will be preferable,"Ethical Hacking, Java","Certificate, Letter Of Recommendation"
2025-09-27 22:35:05,Human Resources (HR),Bernhard Schulte Shipmanagement Private Limited,Mumbai,Immediately,"₹ 10,000 - 15,000 /month",2 Months,25 Oct' 25,Nothing,Not Specified,"Operations, Recruitment","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:35:07,Content and Social Media Marketing,Paradigm Techsolutions Private Limited,Mumbai,Immediately,"₹ 5,000 - 15,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Digital Marketing, Social Media Marketing","Certificate, Letter Of Recommendation"
2025-09-27 22:35:09,Business Development (Sales),Pravaayu Healthcare Private Limited,Mumbai,Immediately,"₹ 3,000 - 6,000 /month",3 Months,25 Oct' 25,Nothing,Not Specified,"Business Development, Lead Generation, Operations","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:35:10,Administration,Greenr Cafe,Mumbai,Immediately,"₹ 6,000 - 8,000 /month",3 Months,25 Oct' 25,Nothing,Not Specified,"Effective Communication, Event Management, Interview Coordination, Retail Management","Flexible, Letter Of Recommendation"
2025-09-27 22:35:13,Media & Public Relations (PR),Wellbeing Aacharya,Mumbai,Immediately,"₹ 10,000 - 15,000 /month",4 Months,25 Oct' 25,Nothing,Not Specified,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing",Letter Of Recommendation
2025-09-27 22:35:15,Site Engineering - Interior Design,Dzyine Interiors,Mumbai,Immediately,"₹ 10,000 - 15,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"AutoCAD, Google SketchUp, Microsoft 365","Certificate, Letter Of Recommendation"
2025-09-27 22:35:16,Business Development (Sales),Colliers,Mumbai,Immediately,"₹ 8,000 - 10,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Business Development, Cold Calling, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, MS-Excel, MS-PowerPoint, Presentation skills",Not Available
2025-09-27 22:35:18,Operations,Everest Fleet Private Limited,Thane,Immediately,"₹ 15,000 - 20,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Business Analysis, Logical reasoning, MS-Excel, Problem Solving, Written Communication","Certificate, Letter Of Recommendation, Mentorship"
2025-09-27 22:35:20,Civil Engineering,Sealinkers Private Limited,Navi Mumbai,Immediately,"₹ 8,000 - 10,000 /month",2 Months,25 Oct' 25,Nothing,Not Specified,"AutoCAD, Mathematics","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:35:21,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-27 22:35:21,Marketing,Aparna Mishra,Mumbai,Immediately,"₹ 10,000 - 15,000 /month",3 Months,25 Oct' 25,Nothing,Not Specified,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Office, Social Media Marketing","Certificate, Letter Of Recommendation"
2025-09-27 22:35:24,Video Editing/Making,Enrich Hair And Skin Solutions Private Limited,Mumbai,2. can start the internship between 26th Oct'25 and 9th Nov'25,"₹ 11,000 - 12,000 /month",4 Months,26 Oct - 9 Nov' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing",Not Available
