Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-28 10:08:28,Graphic Design,Scaling Wolves,Kolkata,Immediately,"₹ 5,000 - 10,000 /month",6 Months,9 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, Video Editing","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:08:30,Sales and Marketing,TMG. (Taxmantra Global),Kolkata,Immediately,"₹ 2,000 - 5,000 /month",2 Months,9 Oct' 25,Nothing,Not Specified,"Canva, Effective Communication, Presentation skills, Research and Analytics",Not Available
2025-09-28 10:08:33,Graphic Design,InfluCon Digitals LLP,Kolkata,Immediately,"₹ 12,000 - 15,000 /month",3 Months,9 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Video Editing","Certificate, Letter Of Recommendation"
2025-09-28 10:08:36,Marketing,Tipco India,Kolkata,Immediately,"₹ 6,000 - 12,000 /month",6 Months,9 Oct' 25,Nothing,"1. Morning person (because our mornings start with runs, pilates & Zumba!)","Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Social Media Marketing","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:08:38,Video Editing/Making,InfluCon Digitals,Kolkata,Immediately,"₹ 8,000 - 10,000 /month",3 Months,9 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Video Editing, Video Making","Certificate, Letter Of Recommendation"
2025-09-28 10:08:42,Social Media Marketing,Unacademy,Kolkata,Immediately,"₹ 3,500 - 5,000 /month",3 Months,9 Oct' 25,Nothing,Not Specified,"Creative Writing, Facebook Marketing, Instagram Marketing, Social Media Marketing, Video Editing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:08:46,Operations,M A S A,Kolkata,Immediately,"₹ 3,000 - 5,000 /month",3 Months,8 Oct' 25,Nothing,Not Specified,"Canva, Collaboration, Data entry, Design Thinking, Effective Communication, Email Management, Finance, MS-Excel","Certificate, Letter Of Recommendation, Mentorship"
2025-09-28 10:08:48,Field Sales,Kubo Architecture Studio,Kolkata,Immediately,"₹ 17,000 - 38,000 /month",2 Months,8 Oct' 25,Nothing,"2. Counselling students, parents regarding the architecture career and helping them enroll in enrolling them to our courses.",English Proficiency (Spoken),"Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:08:53,Content Writing,Sprout Road,Kolkata,Immediately,"₹ 3,000 - 7,000 /month",6 Months,8 Oct' 25,Nothing,Not Specified,"Blogging, Creative Writing, English Proficiency (Written)","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:08:56,Marketing,Peerless Skill Academy,Kolkata,Immediately,"₹ 5,000 - 7,000 /month",4 Months,8 Oct' 25,Nothing,Not Specified,"Digital Marketing, Market research, Social Media Marketing","Certificate, 5 Days A Week"
2025-09-28 10:09:00,HR Consultant,Xperteez Technology,Kolkata,Immediately,"₹ 3,500 - 5,000 /month",2 Months,8 Oct' 25,Nothing,Not Specified,Effective Communication,"Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:03,Social Media Marketing,Scaling Wolves,Kolkata,Immediately,"₹ 5,000 - 10,000 /month",6 Months,8 Oct' 25,Nothing,Not Specified,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:07,Campus Ambassador,No Gimmick,Ahmedabad,Immediately,Not Available,6 Months,8 Oct' 25,Nothing,4. Certificate for all ambassadors,"Content Marketing, Digital Marketing, Sales, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:09,Business Development & Operations,India Spelling Bee,Kolkata,Immediately,"₹ 9,000 - 15,000 /month",3 Months,8 Oct' 25,Nothing,"1. Coordinate prestigious projects such as the India Spelling Bee and ISB Spelling Bee International, for registration of students, and all communication flows smoothly.","English Proficiency (Spoken), English Proficiency (Written), MS-Office","Certificate, Letter Of Recommendation"
2025-09-28 10:09:12,Talent Acquisition,Roadwings International,Kolkata,Immediately,"₹ 5,000 - 10,000 /month",6 Months,7 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Excel","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:15,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-28 10:09:15,Video Creator,Digital Trunk Private Limited,Chennai,Immediately,"₹ 2,001 - 25,000 /month",6 Months,7 Oct' 25,Nothing,1. Students or recent graduates with a strong passion for video creation.,"Video Editing, Video Making","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:09:18,Creative & Event Support,E2 EVENTS,Kolkata,Immediately,"₹ 3,000 - 4,000 /month",3 Months,5 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe Premiere Pro, Canva, Capcut, DaVinci Resolve","Certificate, Letter Of Recommendation"
2025-09-28 10:09:20,Video Editing/Making,IEMA Research & Development Private Limited,Kolkata,Immediately,"₹ 8,000 - 9,000 /month",2 Months,5 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Premiere Pro","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:09:22,Business Development (Sales),TaxDisha,Kolkata,Immediately,"₹ 8,000 - 10,000 /month",4 Months,5 Oct' 25,Nothing,Not Specified,"Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:09:25,Marketing,Teshi Engineers & Sales Promoters Pvt Ltd,Kolkata,Immediately,"₹ 4,000 - 6,000 /month",3 Months,5 Oct' 25,Nothing,Not Specified,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Office, Social Media Marketing",Letter Of Recommendation
2025-09-28 10:09:28,Content Writing,Nico Digital,Kolkata,Immediately,"₹ 8,000 - 10,000 /month",6 Months,4 Oct' 25,Nothing,Not Specified,"Creative Writing, Search Engine Optimization (SEO)",Certificate
2025-09-28 10:09:32,Digital Marketing,Exnovation Infolabs Private Limited,Kolkata,Immediately,"₹ 7,000 /month",3 Months,4 Oct' 25,Nothing,Not Specified,"Email Marketing, English Proficiency (Written), Search Engine Marketing (SEM)","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:09:34,Digital Marketing,Scaling Wolves,Kolkata,Immediately,"₹ 5,000 - 10,000 /month",6 Months,4 Oct' 25,Nothing,Not Specified,"Copywriting, Effective Communication, English Proficiency (Spoken), Facebook Ads","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:38,sales,City Art Factory,Kolkata,Immediately,"₹ 6,000 - 15,000 /month",3 Months,4 Oct' 25,Nothing,Not Specified,Effective Communication,"Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:40,Content and Social Media Marketing,Cosmic Scanner,Kolkata,Immediately,"₹ 10,000 /month",6 Months,4 Oct' 25,Nothing,Not Specified,"Canva, Content Editing, Effective Communication, MS-Excel, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:43,Digital Marketing,SNAPRO,Kolkata,Immediately,"₹ 7,000 /month",4 Months,4 Oct' 25,Nothing,Not Specified,"Digital Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:09:45,Content Writing,Webvio Technologies,Kolkata,Immediately,"₹ 5,000 - 10,000 /month",6 Months,4 Oct' 25,Nothing,Not Specified,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing","Certificate, 5 Days A Week"
2025-09-28 10:09:47,Video Editing/Making,Adbeats Media Private Limited,Kolkata,Immediately,"₹ 5,000 - 7,000 /month",3 Months,4 Oct' 25,Nothing,Not Specified,"Final Cut Pro, Video Editing","Certificate, Flexible, 5 Days A Week"
2025-09-28 10:09:50,Field Sales,Growth Dots,Kolkata,Immediately,"₹ 7,000 - 27,500 /month",2 Months,3 Oct' 25,Nothing,Not Specified,"Bengali Proficiency (Spoken), Digital Marketing, English Proficiency (Spoken), Field Sales, Marketing, Sales","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:09:52,Operations,ShyamBhajo Jewellers Private Limited,Kolkata,Immediately,"₹ 5,000 - 12,000 /month",6 Months,3 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:09:55,Graphic Design,Fue India,Kolkata,Immediately,"₹ 3,000 - 5,000 /month",4 Months,3 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW, UI & UX Design, Video Editing","Certificate, Letter Of Recommendation"
