Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-28 09:58:47,Operations & Project Management (Mechanical And Electrical Engineers),Inspacco,Pune,Immediately,"₹ 7,000 - 15,000 /month",3 Months,11 Oct' 25,Nothing,2. Students will get PPO based on their performance during their Internship Period,"Client Relationship, Decision making, Effective Communication, Leadership, MS-Excel, Negotiation, Problem Solving, Project Management","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 09:58:49,Human Resources (HR),Asentech LLC,Pune,Immediately,"₹ 15,000 - 20,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"Employment engagement, English Proficiency (Spoken), MS-Office, Onboarding, Recruitment, Training and Development","Certificate, Flexible, 5 Days A Week"
2025-09-28 09:58:51,Human Resources (HR),Netsurf Communications Pvt.Ltd.,Pune,Immediately,"₹ 4,000 - 5,000 /month",3 Months,10 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Office",Certificate
2025-09-28 09:58:52,Graphic Design,Studio Kelp,Pune,Immediately,"₹ 13,000 - 20,000 /month",3 Months,10 Oct' 25,Nothing,1. A degree/diploma in graphic design,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 09:58:54,Inside Sales,Axiom Exports,Chennai,Immediately,"₹ 6,000 - 9,000 /month",6 Months,10 Oct' 25,Nothing,Not Specified,"Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Lead Generation",Certificate
2025-09-28 09:58:56,Recruitment,Futran Solutions,Pune,Immediately,"₹ 10,000 - 12,000 /month",3 Months,10 Oct' 25,Nothing,1. Candidates who have completed BBA or MBA.,Recruitment,"Certificate, 5 Days A Week"
2025-09-28 09:58:58,Human Resources (HR),Most Authentic Profile Screening Services,Pune,Immediately,"₹ 10,000 - 13,000 /month",3 Months,10 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), Human Resources, MS-Excel, MS-Office, Recruitment",Not Available
2025-09-28 09:59:00,Content and Social Media Marketing,Markytics,Pune,Immediately,"₹ 4,500 - 5,000 /month",6 Months,10 Oct' 25,Nothing,"1. Pursuing or recently completed a degree in Marketing, Mass Communication, Design, or related fields","Attention to Detail, Canva, Content Writing, Creativity, Effective Communication, Google Workspace, Graphic Design, Search Engine Optimization (SEO)","Certificate, Letter Of Recommendation"
2025-09-28 09:59:02,Human Resources (HR),Global Edutech,Pune,Immediately,"₹ 7,500 - 15,000 /month",6 Months,10 Oct' 25,Nothing,Not Specified,"Attention to Detail, Document Management, English Proficiency (Written), MS-Office, Onboarding, Presentation skills, Recruitment, Report Generation","Certificate, Mentorship"
2025-09-28 09:59:04,Business Development (Sales),Talent Corner HR Services,Pune,2. can start the internship between 3rd Nov'25 and 15th Nov'25,"₹ 5,000 /month",3 Months,3 Nov - 15 Nov' 25,Nothing,Not Specified,"Business Development, Client Relationship, Customer Acquisition, Effective Communication, Lead Generation","Certificate, Flexible"
