Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-27 22:09:34,Sales and Marketing,IACG MULTI MEDIA,Hyderabad,Immediately,"₹ 35,000 - 1,18,000 /month",3 Months,24 Oct' 25,Nothing,2. Plan and execute field campaigns to generate student inquiries and admissions.,"Effective Communication, Public Relations, Public Speaking, Sales Strategy","Certificate, Letter Of Recommendation"
2025-09-27 22:09:36,Marketing,WeMakeScholars,Mangalore,Immediately,"₹ 6,000 - 16,000 /month",2 Months,25 Oct' 25,Nothing,1. Make the students aware about the Higher Education Scholarship Test - HEST using by implementing the activities shared by the team.,"Computer Networking, Effective Communication, Facebook Marketing, Instagram Marketing, Interpersonal skills","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:09:38,Business Development (Sales),Techdome Solutions Private Limited,Indore,Immediately,"₹ 6,000 - 12,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:09:40,Human Resources (HR),Techdome Solutions Private Limited,Indore,Immediately,"₹ 5,000 - 10,000 /month",3 Months,24 Oct' 25,Nothing,"1. Pursuing or recently completed a degree in Human Resources, Business Administration, or a related field.","Effective Communication, Employment engagement, English Proficiency (Written), HR Operations, HR Policies, MS-Excel, MS-Office, MS-Word","Certificate, Flexible, 5 Days A Week"
2025-09-27 22:09:42,Graphic Design,Zeos India Private Limited,Hyderabad,Immediately,"₹ 15,000 /month",3 Months,15 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:09:45,Hospital Audit,Value Kare Healthtech LLP,Pune,Immediately,"₹ 5,000 - 10,000 /month",3 Months,26 Oct' 25,Nothing,2. Preference will be given to candidates pursuing or holding an MBA or MHA,"Advanced Excel, Auditing, Canva, Data entry, Data Interpretation, Medical Coding, Medical Terminology, MS-PowerPoint","Certificate, Letter Of Recommendation"
2025-09-27 22:09:48,Business Development (Sales),Megaminds IT Services,Hyderabad,Immediately,"₹ 10,000 - 19,000 /month",6 Months,24 Oct' 25,Nothing,Not Specified,"Canva, Content Marketing, Design Thinking, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:09:50,Architecture,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,Nothing,Not Specified,"Adobe Photoshop, AutoCAD, Autodesk Revit, MS-Office","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:09:52,Store Fashion Consultant,Tomorrowland Apparels Private Limited,Hyderabad,Immediately,"₹ 9,000 - 10,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,Fashion Styling,Not Available
2025-09-27 22:09:53,Event Management,Events By Leahwaan,Hyderabad,Immediately,"₹ 6,000 - 12,000 /month",4 Months,22 Oct' 25,Nothing,Not Specified,"AutoCAD, Client Interaction, Creative Thinking, Design Thinking, Event Management, Vendor Management",Not Available
2025-09-27 22:09:55,Promoter,WeMakeScholars,Mangalore,Immediately,"₹ 6,000 - 14,000 /month",2 Months,25 Oct' 25,Nothing,3. Target students who are considering studying overseas.,"Digital Marketing, Effective Communication, Networking","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:09:59,Operations,Bon Appétit Cafe,Hyderabad,Immediately,"₹ 3,000 - 5,000 /month",6 Months,22 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word","Certificate, Letter Of Recommendation"
2025-09-27 22:10:01,Video Editing/Making,Silverlabs India Private Limited,Hyderabad,Immediately,"₹ 15,300 - 18,300 /month",6 Months,22 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Capcut, Final Cut Pro, Video Editing, Video Making","Certificate, Flexible, 5 Days A Week"
2025-09-27 22:10:04,Inside Sales,ReelOn Technologies Pvt. Ltd,Hyderabad,Immediately,"₹ 5,000 - 10,000 /month",6 Months,17 Oct' 25,Nothing,1. Education: No formal degree required (basic education is sufficient).,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Kannada Proficiency (Spoken)","Certificate, Flexible"
2025-09-27 22:10:08,Marketing,WEXA AI,Hyderabad,Immediately,"₹ 8,000 - 10,000 /month",6 Months,22 Oct' 25,Nothing,Not Specified,"Blogging, Content Editing, Content Writing, Digital Marketing, Email Marketing, English Proficiency (Written), Graphic Design, Social Media Marketing","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:10:10,Campus Ambassador,JK Shah Classes,Ahmedabad,Immediately,Not Available,2 Months,23 Oct' 25,Nothing,"1. ACCA Awareness & Outreach: Identify and connect with commerce and undergraduate students (B.Com, BAF, BMS, etc.) across your campus and network who may be interested in global accounting careers, introducing them to the ACCA course offered by JK Shah Classes.","Client Relationship, Effective Communication, English Proficiency (Spoken), Marketing, Negotiation, Problem Solving","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:10:12,Field Sales,Global Edutech,Hyderabad,Immediately,"₹ 7,500 - 15,000 /month",3 Months,10 Oct' 25,Nothing,"1. Pursuing/completed a Bachelor's degree in Business, Marketing, or any related field.","Client Relationship Management (CRM), Customer Acquisition, Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Marketing, Market research, Research and Analytics","Certificate, Flexible, Letter Of Recommendation, Mentorship"
2025-09-27 22:10:13,Event Management,EduAce Services,Chennai,Immediately,"₹ 5,000 - 10,000 /month",3 Months,22 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), Event Management, MS-Excel","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:10:15,Warehouse Operations Executive,The Affordable Organic Store,Hyderabad,Immediately,"₹ 8,000 /month",6 Months,5 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Excel, MS-Office, MS-PowerPoint, Problem Solving","Certificate, Letter Of Recommendation"
2025-09-27 22:10:18,Warehouse Operation,The Affordable Organic Store,Hyderabad,Immediately,"₹ 15,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Excel, MS-Office, MS-PowerPoint, Problem Solving","Certificate, Letter Of Recommendation"
2025-09-27 22:10:20,Inside Sales,NNIIT,Hyderabad,Immediately,"₹ 40,000 - 2,75,000 /month",6 Months,19 Oct' 25,Nothing,"1. Counsel parents and students on K9-K12 learning programs via calls, virtual meetings, or in-person interactions.",Salesforce,Letter Of Recommendation
2025-09-27 22:10:22,Telecalling,Ayathana Designs And Build Mart Pvt LTD,Hyderabad,Immediately,"₹ 15,000 /month",6 Months,18 Oct' 25,Nothing,Not Specified,Sales Support,"Certificate, Letter Of Recommendation"
2025-09-27 22:10:24,Video Editing/Making,MastersHelp,Secunderabad,Immediately,"₹ 10,500 - 16,000 /month",6 Months,2 Oct' 25,Nothing,Not Specified,"Capcut, Instagram Marketing, Time Management, Video Editing, Video Making","Certificate, Letter Of Recommendation"
2025-09-27 22:10:26,Human Resources (HR),SYKAM ASSETS MANAGEMENT (OPC) PRIVATE LIMITED,Hyderabad,Immediately,"₹ 5,000 - 8,000 /month",2 Months,20 Oct' 25,Nothing,2. BBA or MBA - pursuing/pursued (HR - domain preferred).,"Attendance Management, Decision making, Document Management, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), HR Analytics",Flexible
2025-09-27 22:10:28,Talent Acquisition,SYKAM ASSETS MANAGEMENT (OPC) PRIVATE LIMITED,Hyderabad,Immediately,"₹ 5,000 - 8,000 /month",2 Months,20 Oct' 25,Nothing,1. BBA or MBA (Completed or Pursuing) Preferred - HR domain,"Attendance Management, Attention to Detail, Document Management, Effective Communication, Employee Relations, Employment engagement, English Proficiency (Spoken), English Proficiency (Written)",Flexible
2025-09-27 22:10:30,Business Development (Sales),Fission Infotech,Hyderabad,Immediately,"₹ 8,000 - 10,000 /month",3 Months,15 Oct' 25,Nothing,"1. Students or recent graduates from Engineering, Business, Math, or Economics","Business Development, Client Interaction, Critical thinking, Effective Communication, Networking, Problem Solving, Research and Analytics, Sales","Certificate, Flexible, Letter Of Recommendation, Mentorship, 5 Days A Week"
2025-09-27 22:10:32,Social Media,Humann,Hyderabad,Immediately,"₹ 12,000 /month",3 Months,5 Oct' 25,Nothing,Not Specified,"Canva, Content Editing, Creative Direction, Instagram Marketing, LinkedIn Marketing, Script Writing, Social Media Marketing, Video Editing","Certificate, Letter Of Recommendation"
2025-09-27 22:10:34,Purchase & Admin,UNIO Labs,Secunderabad,Immediately,"₹ 5,000 - 9,000 /month",3 Months,17 Oct' 25,Nothing,Not Specified,"Client Interaction, Customer Support, Effective Communication, Email Management, Human Resources, Interpersonal skills, Microsoft 365, MS-Excel","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:10:36,Inside Sales,Visys Cloud Technologies India Private Limited,Hyderabad,Immediately,"₹ 8,000 - 23,000 /month",6 Months,11 Oct' 25,Nothing,Not Specified,"Business Development, Customer Acquisition, Inside Sales, Lead Generation, Marketing, Prospecting, Sales","Certificate, Letter Of Recommendation"
2025-09-27 22:10:38,Business Development (Sales),Visys Cloud Technologies India Private Limited,Hyderabad,Immediately,"₹ 13,000 - 17,000 /month",3 Months,10 Oct' 25,Nothing,Not Specified,"Customer Acquisition, English Proficiency (Spoken), Hindi Proficiency (Spoken), Inside Sales, Market Analysis, Marketing, Sales, Sales Management","Certificate, Letter Of Recommendation"
2025-09-27 22:10:41,Purchase & Admin,UNIO Labs,Secunderabad,Immediately,"₹ 5,000 - 9,000 /month",3 Months,17 Oct' 25,Nothing,Not Specified,"Client Interaction, Customer Support, Effective Communication, Email Management, Human Resources, Interpersonal skills, Microsoft 365, MS-Excel","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:10:43,Inside Sales,Visys Cloud Technologies India Private Limited,Hyderabad,Immediately,"₹ 8,000 - 23,000 /month",6 Months,11 Oct' 25,Nothing,Not Specified,"Business Development, Customer Acquisition, Inside Sales, Lead Generation, Marketing, Prospecting, Sales","Certificate, Letter Of Recommendation"
2025-09-27 22:10:45,Business Development (Sales),Visys Cloud Technologies India Private Limited,Hyderabad,Immediately,"₹ 13,000 - 17,000 /month",3 Months,10 Oct' 25,Nothing,Not Specified,"Customer Acquisition, English Proficiency (Spoken), Hindi Proficiency (Spoken), Inside Sales, Market Analysis, Marketing, Sales, Sales Management","Certificate, Letter Of Recommendation"
